GENEID,baseMean,log2FoldChange,lfcSE,pvalue,padj,SYMBOL
ENSMUSG00000038508,3.45256058717313,0.192490024849958,0.576652852116202,0.547254057047194,0.640120416029524,Gdf15
ENSMUSG00000056204,136.471775194367,-0.289322261251103,0.200893895950806,0.128313938174931,0.192458552752654,Pgpep1
ENSMUSG00000031848,4463.45461895947,-0.424853822838511,0.0734158690509248,5.64667220755159e-09,2.4447987673496e-08,Lsm4
ENSMUSG00000071076,28871.6199446989,0.871426191823655,0.143887284450363,6.51571534468814e-10,3.04353264286512e-09,Jund
ENSMUSG00000110622,17.9634107253346,0.62888735632876,0.485456159279769,0.0879597523382939,0.138800346629451,NA
ENSMUSG00000095026,30.9314654910487,-4.56953128919146,0.691150814014976,9.71873069219385e-12,5.19376969890209e-11,Gm3336
ENSMUSG00000031842,86.5470217860537,0.256358993986034,0.226463762000962,0.227537908424653,0.3136176185632,Pde4c
ENSMUSG00000031840,187.411662288325,0.244247927657273,0.160656516012155,0.118586423553166,0.18021064346027,Rab3a
ENSMUSG00000035559,911.871550010416,-0.216882346583728,0.0926411857639452,0.0180341846643018,0.0337015989324008,Mpv17l2
ENSMUSG00000031838,2399.5413106473,-0.370183260859765,0.054160120220891,6.64706261629128e-12,3.58793975871745e-11,Ifi30
ENSMUSG00000031834,1061.12983987997,0.971458696860121,0.0953608792199354,7.64941666926688e-25,7.72278761334021e-24,Pik3r2
ENSMUSG00000031833,12507.8362134162,-0.261490996261411,0.0606781939898118,1.47404357899925e-05,4.48401696419651e-05,Mast3
ENSMUSG00000000791,2759.2752877326,0.268322272175918,0.0677142359585279,6.56294794306741e-05,0.000184744494140051,Il12rb1
ENSMUSG00000002910,778.774036436933,-0.177418795533961,0.0896193130491096,0.0451666237537284,0.0768799896017898,Arrdc2
ENSMUSG00000002908,5.80283781928559,0.0754431549662659,0.554290400543038,0.808951086784579,0.860781422809438,Kcnn1
