GENEID,baseMean,log2FoldChange,lfcSE,pvalue,padj,SYMBOL
ENSMUSG00000035799,4.7620751797491,5.87108970009088,2.51958470343165,4.15414205342971e-05,0.000119883706758666,Twist1
ENSMUSG00000092305,14.9458905313613,2.82788350347832,0.625026247293192,6.03888658548955e-07,2.14731283334299e-06,Prps1l1
ENSMUSG00000036231,3.94238517699327,4.33690105712884,2.49238343811007,0.00088716217380906,0.00210673968652401,Agr3
ENSMUSG00000020577,4052.80220507406,1.42170781365349,0.0488408196723185,1.96184151462827e-186,1.6343084018652e-184,Tspan13
ENSMUSG00000036169,1315.55406254793,5.06717686103118,0.128303248752014,0,0,Sostdc1
ENSMUSG00000043153,261.363446643576,5.44934422816441,0.283814136130805,8.25312592629551e-83,2.81945604561034e-81,Ispd
ENSMUSG00000004151,4.020483185399,2.94265051955183,1.45088479410812,0.00329566511601345,0.00710527083540917,Etv1
ENSMUSG00000002565,28.9380184323251,2.5139156453447,0.548444267350449,5.08605001784316e-07,1.82348647129944e-06,Scin
ENSMUSG00000036295,52.0974116854473,1.98727302637812,0.290170287624972,9.39447167244933e-13,5.39627875049468e-12,Lrrn3
ENSMUSG00000020953,336.517091016244,4.32273843116734,0.823025194797814,7.91163606545386e-09,3.38498947068498e-08,Coch
ENSMUSG00000035148,35.4259624303751,-4.58268187461526,0.77334063857449,1.32106738339488e-09,6.019183298779e-09,Gpr33
ENSMUSG00000035133,1205.73058293758,2.63754376378156,0.0825997086954634,1.0752373440768e-224,1.09477433634172e-222,Arhgap5
ENSMUSG00000061603,84.4149922762698,4.85129877813083,0.723228166318389,1.87404425689102e-11,9.80647008191078e-11,Akap6
ENSMUSG00000035105,1109.39320793086,2.47358715936337,0.129553292134685,2.58788580543551e-82,8.78302507125803e-81,Egln3
ENSMUSG00000001497,9.03358369791616,1.6271574621735,0.748924705684877,0.00310136418719688,0.00671294307463569,Pax9
ENSMUSG00000047022,198.72505430705,1.17203041702786,0.175966826892073,7.10834902401538e-12,3.82500383751681e-11,Mipol1
ENSMUSG00000035451,6.68200384008893,1.27192887225631,1.05965026089156,0.0228017321763939,0.0415980072425184,Foxa1
ENSMUSG00000021066,14.0548940741915,1.14061816658801,0.555722698448889,0.0081666509457009,0.0163374969092242,Atl1
ENSMUSG00000021087,75.4633520192676,-1.7831532533566,0.249464075979314,1.20291495848614e-13,7.2801123633633e-13,Rtn1
ENSMUSG00000034435,23.1529142836911,1.21007577687302,0.500942280973596,0.00300177720337997,0.00651549188717474,Tmem30b
ENSMUSG00000021109,26262.1724001668,1.18926213177819,0.051921183014699,4.93325873973413e-116,2.50326725236411e-114,Hif1a
ENSMUSG00000034402,2.45766561718579,1.14758596682574,2.01650462214148,0.0259935968061793,0.0467422660794946,Kcnh5
ENSMUSG00000052609,1600.31113579562,-1.4481202694035,0.0647215023668226,8.40264716699975e-112,4.04001350517043e-110,Plekhg3
ENSMUSG00000021127,28522.7040086485,1.44971895411292,0.0509652884660435,1.28586099172075e-179,1.02199706780744e-177,Zfp36l1
ENSMUSG00000021221,14.015923515151,-1.25417092373507,0.541749630483595,0.00345958059894366,0.00743664227547183,Dpf3
ENSMUSG00000021223,6.32808224084529,3.74983326187456,1.45598011052651,0.000615612866259715,0.00149797207600654,Papln
ENSMUSG00000002020,24.6981416894228,-1.05557324006977,0.507247046364455,0.0085132881609812,0.0169677588244326,Ltbp2
ENSMUSG00000021245,711.835420381222,1.01949646157537,0.0991614455638211,2.92899521723351e-25,3.00777109387368e-24,Mlh3
ENSMUSG00000021250,30717.9506511284,1.15324967837073,0.0350366306920216,2.84704899799132e-238,3.12333304864146e-236,Fos
ENSMUSG00000021253,346.006603453151,3.59365125036768,0.163347499910864,2.7979544438967e-108,1.2744600680416e-106,Tgfb3
ENSMUSG00000007867,41.5433122934797,1.65206689235216,0.342460667647188,2.00418282255791e-07,7.48349952296432e-07,Ift43
ENSMUSG00000021256,22.5041178728844,-1.36830531019301,0.464424560504845,0.000527785010690276,0.00129886807212213,Vash1
ENSMUSG00000034145,34.9547686907188,3.84147435490723,0.96241671064723,3.48057770804766e-06,1.14220432980759e-05,Tmem63c
ENSMUSG00000007682,33.5667595279201,3.04577391779064,1.05967435464868,0.000948438628768996,0.0022413193202311,Dio2
